question,answer,product,audience,jurisdiction,tags
"Please provide personnel additions, terminations, and departures over the past five years. Please note which personnel are related to this product.", "In January 2025, Aswini Krishnan, a member of the investment team since 2018, departed to move to London. Her responsibilities and ownership interest were distributed among the other members of the investment team. She is related to this product.", Core Plus, Pension, US, "personnel,departure"
"Please provide personnel additions, terminations, and departures over the past five years. Please note which personnel are related to this product.", "After 40 years in the industry, the last 15 years with the firm, Gloria Carlson retired in March 2024. Gloria was the Director of Sales and Marketing, and her responsibilities were assumed by Arnold West, Director, Institutional Relationships and other members of the marketing team.", Core Plus, Pension, US, "personnel,departure"
"Describe the succession plan for key investment professionals and the firm’s senior leadership.", "At GIA, a fundamental principle is shared ownership and responsibility among our investment team, which enhances our succession planning. All members of the investment team comprise the Board of Managers and are familiar with both the management of the firm and our investment operations.", Core Plus, Pension, US, "personnel,succession"
"Describe the succession plan for key investment professionals and the firm’s senior leadership.", "The senior members of the team have extensive leadership and portfolio management experience, and each member of the team contributes to the day-to-day management of our clients’ portfolios. Every responsibility is covered by a principal person and a back-up. Coverage for the strategy would transition to the other team members in the event of a departure.", Core Plus, Pension, US, "personnel,succession"
"Describe the succession plan for key investment professionals and the firm’s senior leadership.", "In the case of our Chief Investment Officer Eduardo Cortes, Albert Tseng, who was appointed Deputy CIO in 2020, would step in to assume CIO responsibilities as necessary. With respect to Mr. Cortes’s equity, arrangements will be put in place for the purchase of his shares.", Core Plus, Pension, US, "personnel,succession"
"Describe the succession plan for key investment professionals and the firm’s senior leadership.", "We successfully executed our succession plan during two retirements from the investment team. This process involved careful preparation and mentorship, allowing for a smooth transition that maintained the integrity of our investment strategies. Last month, a member of the investment team moved out of the country. Consistent with our succession plan, her coverage for core plus and other strategies was distributed among other members of the team. ", Core Plus, Pension, US, "personnel,succession"
"Please indicate the scope of services that will be provided for this account. Please include a description of how client servicing/communication responsibilities are divided between portfolio managers and client service/marketing personnel and how often portfolio managers meet with clients to review the portfolio.", "We view ourselves as a partner with our clients. We understand that staff at CTPF need information that enables them to meet their responsibilities to the Board. In addition to monthly and quarterly reports, which may be customized, we serve as a resource to our clients. All analyst/managers are readily accessible by phone. A senior member of the investment team and your client service officer are available to meet, at minimum, annually to review your portfolio.", Core Plus, Pension, US, "client,service"
"Please indicate the scope of services that will be provided for this account. Please include a description of how client servicing/communication responsibilities are divided between portfolio managers and client service/marketing personnel and how often portfolio managers meet with clients to review the portfolio.", "Arnold West, Director Institutional Relationships, would have primary client service responsibility for CTPF. Arnold is an experienced relationship manager and also served as a public fund trustee for nearly a decade.", Core Plus, Pension, US, "client,service"
"How often would the primary contact for the Fund account be available for client meetings?", "Your client service officer, Arnold West, and a senior member of the investment team will participate in quarterly calls and/or meetings. Arnold will also be available between calls and meetings.", Core Plus, Pension, US, "client,service"
"Please describe the client reporting process. How frequently are reports made available? What other communications, materials, reports, and resources are made available to clients?", "Reports are customized to meet the specific needs of our clients. Currently we provide the following reports: • Monthly: Performance, portfolio valuation, duration, sector, industry, and regional exposures. Available 15 days after month end. • Quarterly: Economic and market commentary and outlook. Available 15 days after quarter end. • Annual Reviews: Performance analysis, attribution, strategy, sector, and industry exposures.", Core Plus, Pension, US, "client,service,reporting"
"Please discuss any annual investor conferences, seminars, institutional events, or email/conference call communications that your firm makes available for market updates and educational opportunities.", "Our analysts/managers are readily available by phone or video conference, if CTPF staff have any questions regarding the portfolio and/or the markets. We also provide a quarterly report with our market outlook.", Core Plus, Pension, US, "client,service"
"What is the investment objective of this product?", "Our Core Plus strategy focuses on bottom-up security selection with credit as the primary source of excess return. Market segments such as treasuries, mortgages and agencies are used for risk management, primarily duration management. The investment objective is to outperform the relevant aggregate index by 100 – 150 basis points gross of fees over a market cycle.", Core Plus, Pension, US, "product,objective"
"What benchmark is most appropriate for this product and why?", "While we are benchmark agnostic, our clients use the Bloomberg US Aggregate Index for the Core Plus Strategy.", Core Plus, Pension, US, "product,benchmark"
"What is the capacity for this product?", "We estimate our Core Plus product will become capacity constrained when the Plus sectors in aggregate reach $5-6 billion. Since our plus sectors are about 25% of the Core Plus strategy, we believe this strategy may become constrained at around $20-25 billion.", Core Plus, Pension, US, "product,capacity"
"Specify the product’s expected volatility range.", "We target volatility between 1% - 1.5% relative to the benchmark, although episodes of severe market disruption such as March 2020 will temporarily raise the level of realized volatility.", Core Plus, Pension, US, "product,volatility"
"Specify the product’s expected excess return range over a full market cycle.", "Our investment objective is to outperform the relevant aggregate index by 100 – 150 basis points over a full market cycle", Core Plus, Pension, US, "product,return"
"Specify the product’s expected or targeted tracking error range.", "We do not specifically target benchmark tracking in our portfolio construction. However, we expect the range to be 1.5% to 2.5%.", Core Plus, Pension, US, "product,error"
"Specify the product’s expected or targeted information ratio.", "Our targeted information ratio is 0.75 to 1.25.", Core Plus, Pension, US, "product,error"
